Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
Jul-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Aug-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Sep-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Oct-20,0.05,0.05,0.781,0.05,0.05,0.05,0.05,0.05,0.05,,0.131222222
Nov-20,0.05,0.05,0.676571429,0.05,0.05,0.05,0.05,0.05,0.05,,0.119619048
Dec-20,0.05,0.05,0.572142857,0.05,0.05,0.05,0.05,0.05,0.05,,0.108015873
Jan-21,0.05,0.05,0.467714286,0.05,0.05,0.05,0.05,0.05,0.05,,0.096412698
Feb-21,0.05,0.05,0.363285714,0.05,0.05,0.05,0.05,0.05,0.05,,0.084809524
Mar-21,0.05,0.05,0.258857143,0.05,0.05,0.05,0.05,0.05,0.05,,0.073206349
Apr-21,0.05,0.05,0.154428571,0.05,0.05,0.05,0.05,0.05,0.05,,0.061603175
May-21,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Jun-21,0.05,0.05,0.05,0.05,0.05,0.114,0.05,0.05,0.05,,0.057111111
Jul-21,0.05,0.05,0.124,0.05,0.05,0.05,0.05,0.05,0.05,,0.058222222
Aug-21,1.13,0.57,0.31,0.29,0.05,0.17,0.32,0.09,0.24,,0.352222222
Sep-21,0.3,0.45,0.31,0.21,0.27,0.31,0.24,0.13,0.14,,0.262222222
Oct-21,0.05,0.05,0.05,0.05,0.05,0.14,0.05,0.05,0.05,,0.06
Nov-21,0.05,0.1,0.18,0.05,0.05,0.05,0.18,0.27,0.05,,0.108888889
Dec-21,0.38,0.25,0.38,0.66,0.305,0.21,0.29,0.34,0.13,,0.327222222
Jan-22,0.5055,0.322,0.4535,0.5055,0.368,0.325,0.463,0.41,0.2545,,0.400777778
Feb-22,0.631,0.394,0.527,0.351,0.431,0.44,0.636,0.48,0.379,,0.474333333
Mar-22,0.02,0.03,0.01,0.005,0.005,0.005,0.005,0.005,0.005,,0.01
Apr-22,0.02,0.04,0.05,0.04,0.01,0.02,0.01,0.07,0.01,,0.03
May-22,0.03,0.03,0.01,0.01,0.02,0.01,0.04,0.01,0.01,,0.018888889
Jun-22,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,,0.033333333
Jul-22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005
Aug-22,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.1,,0.066666667
Sep-22,0.61,0.1,0.37,0.12,0.01,0.12,0.05,0.05,0.05,,0.164444444
Oct-22,1,0.2,0.58,0.47,0.11,0.21,0.05,0.36,0.05,,0.336666667
Nov-22,0.48,0.47,0.53,0.39,0.64,0.76,0.64,0.41,0.38,,0.522222222
Dec-22,0.76,0.44,0.48,0.57,0.45,0.58,0.54,1.18,0.14,,0.571111111
